Balayage;Temps;Temps;S304;S 305
332;27/01/2023 11:10;27/01/2023 11:10;50,187;50,958
333;27/01/2023 11:10;27/01/2023 11:10;50,187;50,923
334;27/01/2023 11:11;27/01/2023 11:11;50,18;50,892
335;27/01/2023 11:11;27/01/2023 11:11;50,167;50,868
336;27/01/2023 11:11;27/01/2023 11:11;50,155;50,823
337;27/01/2023 11:11;27/01/2023 11:11;50,135;50,799
338;27/01/2023 11:11;27/01/2023 11:11;50,114;50,757
339;27/01/2023 11:11;27/01/2023 11:11;50,089;50,732
340;27/01/2023 11:11;27/01/2023 11:11;50,065;50,69
341;27/01/2023 11:11;27/01/2023 11:11;50,037;50,67
342;27/01/2023 11:11;27/01/2023 11:11;50,008;50,615
343;27/01/2023 11:11;27/01/2023 11:11;49,977;50,588
344;27/01/2023 11:11;27/01/2023 11:11;49,947;50,531
345;27/01/2023 11:11;27/01/2023 11:11;49,918;50,509
346;27/01/2023 11:12;27/01/2023 11:12;49,888;50,49
347;27/01/2023 11:12;27/01/2023 11:12;49,857;50,437
348;27/01/2023 11:12;27/01/2023 11:12;49,828;50,394
349;27/01/2023 11:12;27/01/2023 11:12;49,797;50,359
350;27/01/2023 11:12;27/01/2023 11:12;49,771;50,355
351;27/01/2023 11:12;27/01/2023 11:12;49,741;50,32
352;27/01/2023 11:12;27/01/2023 11:12;49,712;50,3
353;27/01/2023 11:12;27/01/2023 11:12;49,688;50,267
354;27/01/2023 11:12;27/01/2023 11:12;49,663;50,246
355;27/01/2023 11:12;27/01/2023 11:12;49,638;50,219
356;27/01/2023 11:12;27/01/2023 11:12;49,617;50,205
357;27/01/2023 11:12;27/01/2023 11:12;49,596;50,14
358;27/01/2023 11:13;27/01/2023 11:13;49,575;50,133
359;27/01/2023 11:13;27/01/2023 11:13;49,556;50,124
360;27/01/2023 11:13;27/01/2023 11:13;49,54;50,096
361;27/01/2023 11:13;27/01/2023 11:13;49,521;50,071
362;27/01/2023 11:13;27/01/2023 11:13;49,51;50,061
363;27/01/2023 11:13;27/01/2023 11:13;49,494;50,061
364;27/01/2023 11:13;27/01/2023 11:13;49,482;50,049
365;27/01/2023 11:13;27/01/2023 11:13;49,47;50,018
366;27/01/2023 11:13;27/01/2023 11:13;49,461;50,016
367;27/01/2023 11:13;27/01/2023 11:13;49,449;50,016
368;27/01/2023 11:13;27/01/2023 11:13;49,442;49,998
369;27/01/2023 11:13;27/01/2023 11:13;49,438;49,99
370;27/01/2023 11:14;27/01/2023 11:14;49,43;49,989
371;27/01/2023 11:14;27/01/2023 11:14;49,426;49,97
372;27/01/2023 11:14;27/01/2023 11:14;49,418;49,966
373;27/01/2023 11:14;27/01/2023 11:14;49,418;49,962
374;27/01/2023 11:14;27/01/2023 11:14;49,412;49,965
375;27/01/2023 11:14;27/01/2023 11:14;49,413;49,959
376;27/01/2023 11:14;27/01/2023 11:14;49,409;49,968
377;27/01/2023 11:14;27/01/2023 11:14;49,409;49,959
378;27/01/2023 11:14;27/01/2023 11:14;49,407;49,965
379;27/01/2023 11:14;27/01/2023 11:14;49,409;49,979
380;27/01/2023 11:14;27/01/2023 11:14;49,409;49,967
381;27/01/2023 11:14;27/01/2023 11:14;49,41;49,96
382;27/01/2023 11:15;27/01/2023 11:15;49,411;49,972
383;27/01/2023 11:15;27/01/2023 11:15;49,414;49,97
384;27/01/2023 11:15;27/01/2023 11:15;49,417;49,982
385;27/01/2023 11:15;27/01/2023 11:15;49,417;49,978
386;27/01/2023 11:15;27/01/2023 11:15;49,419;49,983
387;27/01/2023 11:15;27/01/2023 11:15;49,422;50,014
388;27/01/2023 11:15;27/01/2023 11:15;49,428;49,997
389;27/01/2023 11:15;27/01/2023 11:15;49,429;50,007
390;27/01/2023 11:15;27/01/2023 11:15;49,432;50,027
391;27/01/2023 11:15;27/01/2023 11:15;49,436;50,004
392;27/01/2023 11:15;27/01/2023 11:15;49,439;50,013
393;27/01/2023 11:15;27/01/2023 11:15;49,44;50,009
394;27/01/2023 11:16;27/01/2023 11:16;49,446;50,02
395;27/01/2023 11:16;27/01/2023 11:16;49,45;50,039
396;27/01/2023 11:16;27/01/2023 11:16;49,453;50,02
397;27/01/2023 11:16;27/01/2023 11:16;49,457;50,022
398;27/01/2023 11:16;27/01/2023 11:16;49,461;50,023
399;27/01/2023 11:16;27/01/2023 11:16;49,464;50,05
400;27/01/2023 11:16;27/01/2023 11:16;49,467;50,067
401;27/01/2023 11:16;27/01/2023 11:16;49,473;50,058
402;27/01/2023 11:16;27/01/2023 11:16;49,474;50,07
403;27/01/2023 11:16;27/01/2023 11:16;49,476;50,064
404;27/01/2023 11:16;27/01/2023 11:16;49,481;50,059
405;27/01/2023 11:16;27/01/2023 11:16;49,485;50,055
406;27/01/2023 11:17;27/01/2023 11:17;49,486;50,053
407;27/01/2023 11:17;27/01/2023 11:17;49,489;50,045
408;27/01/2023 11:17;27/01/2023 11:17;49,493;50,037
409;27/01/2023 11:17;27/01/2023 11:17;49,496;50,047
410;27/01/2023 11:17;27/01/2023 11:17;49,498;50,042
411;27/01/2023 11:17;27/01/2023 11:17;49,502;50,06
412;27/01/2023 11:17;27/01/2023 11:17;49,504;50,073
413;27/01/2023 11:17;27/01/2023 11:17;49,505;50,048
414;27/01/2023 11:17;27/01/2023 11:17;49,506;50,045
415;27/01/2023 11:17;27/01/2023 11:17;49,51;50,056
416;27/01/2023 11:17;27/01/2023 11:17;49,511;50,058
417;27/01/2023 11:17;27/01/2023 11:17;49,514;50,073
418;27/01/2023 11:18;27/01/2023 11:18;49,513;50,079
419;27/01/2023 11:18;27/01/2023 11:18;49,519;50,062
420;27/01/2023 11:18;27/01/2023 11:18;49,519;50,061
421;27/01/2023 11:18;27/01/2023 11:18;49,519;50,053
422;27/01/2023 11:18;27/01/2023 11:18;49,52;50,06
423;27/01/2023 11:18;27/01/2023 11:18;49,522;50,064
424;27/01/2023 11:18;27/01/2023 11:18;49,527;50,052
425;27/01/2023 11:18;27/01/2023 11:18;49,526;50,052
